artist_name,genre,total_artist_weighted_acousticness,total_artist_weighted_danceability,total_artist_weighted_energy,total_artist_weighted_instrumentalness,total_artist_weighted_liveness,total_artist_weighted_speechiness,total_artist_weighted_valence
Nightwish,metal,0.08827628159515806,0.3993806919240204,0.7426890166507855,0.2299771941093859,0.39829709218495696,0.053781873920532255,0.24874845839220308
Blind Guardian,metal,0.048736451301767625,0.34547286009046024,0.8861540055610863,0.21053527210473805,0.44698022851430075,0.09394377177550146,0.20457261867743118
Rob Zombie,metal,0.01170136565300089,0.528141765767239,0.8948236627828486,0.2522883311181399,0.4168127912869539,0.09671409557350931,0.33694622230311627
Alice Cooper,metal,0.07135109010054906,0.41087450225679023,0.8098518056813169,0.1029942067859578,0.4759128020267759,0.08092496815473249,0.382381458594143
Amon Amarth,metal,0.00038672154450226774,0.34351755025730574,0.9563565252442064,0.5298088439454676,0.3604601433807471,0.0874345058548416,0.1819098936519462
Amorphis,metal,0.0038849470298948615,0.3243028414585312,0.8611450770345043,0.34182695247495964,0.2957122128731313,0.05102121978511389,0.3173447825004241
At The Gates,metal,0.0174974106931099,0.27532563597462734,0.9340740287965739,0.45060457835519546,0.29715235306910975,0.12603880900888145,0.2000014758422859
Bathory,metal,0.034077297022777515,0.3335529488279754,0.8045223281105236,0.5928587676372502,0.24392583740451518,0.06993498250336902,0.18925486690968896
Be'lakor,metal,0.035091310058169824,0.24177308626207958,0.9101483667418933,0.684207555155604,0.16192756875832612,0.0803446459999418,0.1592370911621
Behemoth,metal,0.03358929042211161,0.24475199427061653,0.9291897884192558,0.4015895624840921,0.38680907336896453,0.11759901027948064,0.10896613567058756
Between The Buried And Me,metal,0.039554994370446066,0.2786420231809739,0.870938135383674,0.2473784810817475,0.272302392032758,0.1241685181272412,0.270521962831117
Bloodbath,metal,8.906886094329037e-05,0.30077736836972374,0.9407481135569231,0.4338571984534949,0.5332029455676853,0.14715371645271877,0.21222482244866164
Bring Me The Horizon,metal,0.03612700162317567,0.36993090510210314,0.8590754930252731,0.04108756463440881,0.2675927055296959,0.1272152058425234,0.21336065617322936
Bullet For My Valentine,metal,0.026889582550961594,0.34450335972598484,0.9312164880051765,0.013985001514416258,0.4277926084055503,0.10694672547626913,0.2662475507490559
Cattle Decapitation,metal,0.041482754411105494,0.24923407001055747,0.9186506277714828,0.6462377899943156,0.27955796728565896,0.16104604946351375,0.13818742330072337
Converge,metal,0.010835312933823582,0.24806279536135187,0.9086392969516879,0.5521973450712451,0.3530950715328685,0.13406252349401548,0.16792597012353708
Dark Tranquillity,metal,0.004276047224855621,0.3521215251348394,0.9076788595864113,0.45871422662038974,0.23539770091698922,0.0857525679104627,0.28545452768304386
Darkthrone,metal,0.035397228660537204,0.18350094676997888,0.9393918415770822,0.2948216690582364,0.257871138840348,0.11036516474828782,0.12888389180882712
Deicide,metal,0.003178313290306953,0.2933018315611577,0.9159603890110555,0.6302317058200462,0.3286186022393053,0.10735988266590862,0.1982377227827226
Dimmu Borgir,metal,0.043485905630603686,0.20795751555371786,0.8737852806096545,0.45244609430689003,0.44465154365632276,0.08781217536264699,0.14168689170037202
DragonForce,metal,0.010231895894018954,0.30328655414435457,0.9558939829622959,0.013052842636396672,0.43994091290068743,0.15019071393528974,0.24981046446287483
Ensiferum,metal,0.02539668194601876,0.3709414623416133,0.878353666835822,0.3107829787070136,0.2006122145089416,0.08096110073756983,0.32260555437187954
The Faceless,metal,0.004841172711864776,0.4076999158676311,0.9408590538277244,0.27662937907943247,0.24784242645650717,0.12046935494537135,0.16053950324704103
Fallujah,metal,0.015443284472616163,0.3300955716407332,0.9454135030811195,0.6846560622701627,0.2148093815821224,0.14104969090214037,0.10983859604351918
Gojira,metal,0.016566819258610834,0.32919896221110423,0.8221712161312648,0.2926257982392024,0.268748712384791,0.08502392862780017,0.14471573331181442
Gorguts,metal,0.01593531763001135,0.2572676176633128,0.9051202946338182,0.4757761561085433,0.19523964555923295,0.09320296904224876,0.20425054256483582
In Flames,metal,0.019315130230279587,0.43925005591033356,0.9207363659342305,0.30664484372343814,0.2842490281981301,0.08988937207090408,0.29552257587722336
Insomnium,metal,0.027358517495449937,0.34302070631560044,0.8957328978012326,0.5748502530282621,0.21701413238911868,0.08158513591890645,0.21995420036656346
